district_a,district_b,score_a,score_b,score_gap,cluster_a,cluster_b,biggest_domain_gap,row_a,row_b
Ghaziabad (Uttar Pradesh),Sukma (Chhattisgarh),0.5822205192258598,0.5823770192058276,0.00015649997996780574,2,4,0.7461928301119877,636,130
Kottayam (Kerala),Dahod (Gujarat),0.560417011108379,0.5610139470745242,0.0005969359661451845,3,4,0.7452244450824574,286,148
Kamrup Metropolitan (Assam),Simdega (Jharkhand),0.5423008528057629,0.5447764826530025,0.002475629847239591,7,6,0.7446850305081928,54,249
Ashoknagar (Madhya Pradesh),Thrissur (Kerala),0.5963376316816799,0.5967346497432651,0.00039701806158520814,4,3,0.7434726926797892,299,292
Narmada (Gujarat),Alappuzha (Kerala),0.6151391678079263,0.6160406437852519,0.0009014759773255943,4,3,0.7420496630566714,159,280
Koraput (Odisha),South Andaman (Andaman Nicobar Islands),0.6471140409564717,0.6493700005635843,0.0022559596071125565,4,2,0.7419821850871595,451,2
Nicobar (Andaman Nicobar Islands),Kannauj (Uttar Pradesh),0.5757717490671338,0.5773254205592606,0.001553671492126818,3,6,0.739759533860179,0,647
Pakur (Jharkhand),East Khasi Hills (Meghalaya),0.478393435909428,0.4814867384412738,0.0030933025318458096,6,1,0.7392847410869746,241,393
Malappuram (Kerala),Barwani (Madhya Pradesh),0.6104726497390263,0.6113329411038655,0.0008602913648392274,3,4,0.738343104522806,288,301
Farrukhabad (Uttar Pradesh),Nicobar (Andaman Nicobar Islands),0.5742050588067394,0.5757717490671338,0.0015666902603943544,6,3,0.7383127698599911,632,0
Singrauli (Madhya Pradesh),Kottayam (Kerala),0.5587882810878021,0.560417011108379,0.0016287300205769517,4,3,0.7377877111748868,341,286
Aurangabad (Bihar),Nicobar (Andaman Nicobar Islands),0.5722484621574054,0.5757717490671338,0.0035232869097283626,6,3,0.7358182698831282,71,0
Kannur (Kerala),Jaisalmer (Rajasthan),0.6228907645298017,0.623078430474004,0.00018766594420227545,3,4,0.7319827333304675,283,505
Bangalore (Karnataka),Jhabua (Madhya Pradesh),0.6300811667553162,0.6311513208286917,0.0010701540733755177,2,4,0.7313337077261155,251,318
Pashchimi Singhbhum (Jharkhand),East Godavari (Andhra Pradesh),0.5194224895418925,0.5215152868899147,0.0020927973480221462,6,0,0.7279932075767058,243,5
Sagar (Madhya Pradesh),Nicobar (Andaman Nicobar Islands),0.5747277097960336,0.5757717490671338,0.0010440392711001945,4,3,0.7277140799083023,332,0
Jayashankar Bhupalapally (Telangana),Thrissur (Kerala),0.5964416140723767,0.5967346497432651,0.0002930356708883419,0,3,0.7263752009300233,562,292
