k,stability_ari,stability_sd
3,0.9340025262743997,0.03567562578568491
4,0.9332445861508585,0.038194065851850624
5,0.7916296817403052,0.14535167904596036
6,0.6938626157956751,0.12359684514806334
7,0.7316477595400435,0.13334253306596633
8,0.6404622449540461,0.08326575717635219
9,0.5879104323736617,0.07202823535536484
10,0.5949977043895365,0.08885656131968482
