state,district,census_code,cluster,cluster_name,composite_score,composite_group,distance_to_centroid,domain_child_health_immunisation,domain_education,domain_energy,domain_maternal_health,domain_ncd,domain_nutrition,domain_population_household,domain_tobacco_alcohol,domain_wash,domain_women_empowerment
Andaman Nicobar Islands,Nicobar,35001.0,3,"High development, strong schooling",0.5757717490671338,2,14.52585068378516,-0.6047480170411128,1.1025782025755582,0.16256783275718723,0.39816933075308386,-0.11923342956981173,0.3197803826286723,-0.05106088668193961,-3.4829983009532497,0.7117705988367056,0.547909922165916
Andaman Nicobar Islands,North  & Middle Andaman,35002.0,2,"High development, strong clean energy",0.6045210868167618,4,9.225093219792656,-0.3873462802737691,0.9400791843497002,-0.3139973525897002,0.6572513344535393,-0.2142660524333067,-0.4052437935338229,-0.0076618059210000755,-1.7806142499659268,0.4086706816916568,0.8531541129146923
Andaman Nicobar Islands,South Andaman,35003.0,2,"High development, strong clean energy",0.6493700005635843,6,8.281160276648317,0.2086277667782335,1.6857908924792384,1.092526885297632,0.5114583292579865,-0.0684854705268768,0.11909222345090953,0.055849882930329366,-0.48003142009732525,0.8610333873823401,0.10700184205741847
Andhra Pradesh,Anantapur,28012.0,0,"Middle development, strong clean energy",0.6223885849222722,5,5.234015204379308,0.1590274794950847,-0.52657183218654,0.9786557547872403,0.5110794555881393,-0.17519948925561804,-0.3421108625881261,0.46575219283288427,0.7150453636998528,0.2815301496091442,-0.18058359584761768
Andhra Pradesh,Chittoor,28013.0,0,"Middle development, strong clean energy",0.6219657140314667,5,5.441155529906668,0.23885905377423072,-0.1739888689728504,0.9948744399727394,0.5483333290817904,-0.22875428364162503,-0.5263235244624146,0.5470371780720745,0.7419760012410807,0.37948074693400047,-0.33900074715924405
Andhra Pradesh,East Godavari,28004.0,0,"Middle development, strong clean energy",0.5215152868899147,1,7.127265145144029,-0.6512546593758167,0.21243269497033265,0.7557389847038438,-0.3367376086208488,-0.8278078930335169,-0.646703239094074,0.24222032871985363,0.48816952546897024,0.45195230451023294,-0.25601030798325536
Andhra Pradesh,Guntur,28007.0,0,"Middle development, strong clean energy",0.6065078687009482,4,7.22515553820419,0.6314221334200776,-0.5077023227077221,1.0400744497022283,0.12782855227741508,-0.6212047611069658,-0.2547658971966996,0.541771603817978,0.570746504797388,0.738953900494363,-0.1647438184194691
Andhra Pradesh,Krishna,28006.0,0,"Middle development, strong clean energy",0.6395760867528305,5,6.838895275571157,0.5308102538396848,0.3086360022183552,1.049048817284573,-0.06287826361431254,-0.21014147874627595,-0.15620550171465122,0.9899723602087785,0.6718523567380346,0.286355120321327,0.3378453879332697
Andhra Pradesh,Kurnool,28011.0,0,"Middle development, strong clean energy",0.571122825156819,2,6.129064286126684,-0.05335007914601324,-1.0093391598587418,0.8430476173360116,0.20446438632163633,-0.603563352365868,-0.4445071416292723,0.23984921319528393,0.7348350900718397,0.3038367400220561,-0.1866734927347214
Andhra Pradesh,Prakasam,28008.0,0,"Middle development, strong clean energy",0.5272415241679326,1,8.654681255082142,-0.7829202877984118,-0.7523543494286341,1.0335189087856473,0.010404026151219048,-0.883986774006247,-0.10662400390604092,0.2006368735899433,0.6075297653402749,0.5196320397285881,-0.27059263970697944
Andhra Pradesh,Srikakulam,28001.0,0,"Middle development, strong clean energy",0.6207080154255848,5,5.34711505448214,0.2828465844945503,-0.7219807070907073,0.7726545548386788,0.15138154521241332,-0.11677037756481384,-0.510696316457236,1.099844027227291,0.4400625215542728,-0.38964911952830206,0.1847179618503348
Andhra Pradesh,Sri Potti Sriramulu Nellore,28009.0,0,"Middle development, strong clean energy",0.5888406206128463,3,7.127038855840527,-0.6662181003629495,-0.23665506548259935,0.8809992553309649,0.40926900024314466,-0.016868363164149733,-0.5461854924408055,0.629623270499155,0.46168195593322214,0.4552759394414279,-0.17153299034031166
Andhra Pradesh,Visakhapatnam,28003.0,0,"Middle development, strong clean energy",0.6144943794279588,4,5.446844504133022,0.123249207907411,-0.26703320972156624,0.6991538889890067,0.2703322187739006,-0.1679178504588837,-0.33620872422519726,0.4793606316061371,0.3652676750490098,0.08081854042329817,0.07690814263769177
Andhra Pradesh,Vizianagaram,28002.0,0,"Middle development, strong clean energy",0.6299959250914997,5,5.823155562132284,0.562331899326118,-0.40117609700383816,0.4262075641073536,0.21637141405644916,0.32475439375847837,-0.5013955264130635,0.7684357300285818,0.2624000710696551,-0.4071121470507737,-0.29399819790297765
