child_health_immunisation,education,energy,maternal_health,ncd,nutrition,population_household,tobacco_alcohol,wash,women_empowerment
0.5148494742899954,0.6660809265060924,0.7066841410643272,0.7218453839930041,0.4395538262534436,0.606232254769936,0.5226366381701162,0.003234627184207059,0.8614646930240397,0.7633620118124409
0.5623612391211631,0.629523656205392,0.6264505289583964,0.7787240080107879,0.44136015415875335,0.44607950887237086,0.5403203483613943,0.34829957905990006,0.8048593547747034,0.8243853291842468
0.6895264076235488,0.7962727661760042,0.949500086930739,0.7490086111057506,0.4681241692475448,0.562392580037691,0.5490806968066414,0.6156617479958006,0.8969987560406769,0.6771079635294385
0.6975616524189836,0.30966767581948607,0.9173649088434248,0.7426871988646396,0.4599889638509753,0.4654105474103715,0.6589885223471875,0.8701250548512809,0.7638272002268054,0.5987527557465108
0.7145173884955199,0.3853265869321284,0.9207875406584638,0.7524712896369846,0.44483746947575137,0.422344675729748,0.6660606917690292,0.8755504271949712,0.7866094212451562,0.5654268357981849
0.5205607778386263,0.46737446508162367,0.8636914358880384,0.561259592334247,0.31168550172888104,0.39861792693156967,0.6017939478645383,0.8189153203383288,0.8041631071515035,0.5811871091138813
0.8066191606068696,0.31057542975329083,0.939315215461927,0.6602153964093725,0.3458028577272497,0.4846717410018629,0.6702148506684035,0.8356795172569258,0.8667109198326681,0.5998391381382732
0.7778813755479936,0.48973339999006005,0.9372302916610372,0.6127008675896188,0.42931970742137354,0.5011302490930473,0.7612776026383369,0.8581739204952887,0.7730416707171748,0.7117971855593004
0.6485744023886291,0.20237376222718828,0.875632243383615,0.6787245227154479,0.3724943877758661,0.4508583298991035,0.6027705576821873,0.872538157743953,0.7705501997950787,0.5862920756923493
0.48911403916125157,0.25844566891053344,0.9363108116595029,0.6341118877287878,0.2916620804550312,0.5191476949909459,0.6009931761783985,0.8440652426024283,0.8182304061548683,0.5712534020380591
0.7274397271001816,0.26327525048018496,0.8557668605660027,0.6614283389590107,0.4712802332409556,0.4354396515653338,0.779059405619109,0.8109306302315529,0.6319950645694588,0.6787830436243663
0.5161401437039204,0.37004736049071374,0.895577542046439,0.722070965830675,0.47127348657178714,0.4173240267264442,0.6871947480135931,0.8134669118849814,0.8091616502073805,0.5960091010550604
0.6912666633857181,0.362842787856644,0.8384876535381991,0.692060875120348,0.4584663139441415,0.47537783250233395,0.6483493572823366,0.7944584343165157,0.7311956981245225,0.6560758025245034
0.7884329966329029,0.3400744507126757,0.7626148020353973,0.6748170058475067,0.5514559258590025,0.43485501347701944,0.7226497214145359,0.7747024642712431,0.6180672086541542,0.5700463209555998
0.7589303565800223,0.4284591140976154,0.9129397730505471,0.6901957598053252,0.4114191636757588,0.368436406118913,0.6345785534970313,0.8513376956271791,0.8434843159137496,0.6657241485753346
0.7432174249893535,0.31484598179160317,0.9680308698652947,0.6996907754460898,0.44226011650030983,0.4526146432715706,0.6364144501971863,0.8943276840395754,0.8899729071448369,0.6519003240924711
0.7010361834288387,0.24014145042634094,0.509859948497994,0.44168047013666256,0.2696052878546243,0.7603306023451416,0.4150253899432801,0.1930278759517859,0.7403394018283913,0.6975059046556809
0.6205663334728162,0.3410098290011948,0.5126090641093193,0.5606348789392669,0.4829342818027822,0.7392341029190955,0.5083197960490388,0.21851321117329514,0.6462788449022054,0.7040611754406143
0.7268666075581218,0.37616578421767966,0.24076622928877364,0.5287929645730177,0.32989897525777423,0.6297834452723124,0.48866773470981956,0.2602389054828365,0.9680117164991356,0.7469651047446839
0.4865751151158306,0.24653228896347323,0.40197445302519014,0.3895937134514959,0.516451382780395,0.715338210405906,0.324453130156537,0.3201793320870955,0.7353564599841989,0.6010222531197764
0.45694907080278313,0.5791229002833346,0.6668672433217051,0.4038037608522083,0.3847856413742798,0.6402435210561283,0.49308851022263306,0.3766066918964752,0.8465263199161643,0.5000048515749396
0.5655503477588028,0.1476298079023262,0.8722926355448806,0.34993813726381956,0.6220417133296853,0.5737320544281319,0.3326595903912893,0.6672177910308135,0.9199755857219036,0.46244098842613235
0.610053639778665,0.3761448637645749,0.7383242834249072,0.3848120380744169,0.5984981939786935,0.6128333919297212,0.3233225138978594,0.38673808559225614,0.8319417807407907,0.6338282561721724
0.6540904321224142,0.36818460032897243,0.770124257475911,0.5202816144378977,0.5757459252126128,0.6323436814482545,0.4382929452724296,0.38283826266502213,0.8400884779788333,0.6116154740303585
0.35421558655819757,0.24673913417305093,0.49383853363912805,0.45625963028729244,0.4541000839566192,0.7493512328100973,0.39837582951000816,0.34866876193000845,0.42248631543007653,0.740128447208712
0.6323580280088541,0.46589531724121114,0.4053047364706469,0.5498437954430532,0.38716440427272114,0.7368273197498492,0.4913970769704756,0.3856014116763312,0.9211495091539812,0.8049579155111726
0.5215865725573259,0.5022117273935842,0.7272168238234678,0.47224912827906984,0.42105823289571903,0.7388485997201816,0.5458391145518725,0.4491669555480081,0.8473973940206747,0.6984828215910541
0.5992288511766722,0.2476392826836923,0.5103612004869134,0.4380024267643681,0.4614794015452869,0.6910777079071492,0.41687624896467607,0.1827122542500888,0.7301456165688206,0.6434145857467345
0.5053805603917867,0.5133208496791628,0.8672801156556864,0.3879776708966638,0.5395932956848911,0.6598256091802955,0.3525224399551736,0.4969038888609618,0.727691619524915,0.5379806142014905
0.5323560812313358,0.48147362349724443,0.5738106412917747,0.456743455061498,0.4864128281632821,0.6554246337520636,0.38583159611157875,0.2684468009678628,0.8928556858776255,0.7598324088032676
0.5487278069633962,0.23232553556503785,0.9295516801368222,0.5470531280187211,0.4706391114170863,0.6553025293793195,0.4838992493566481,0.556425964117842,0.8591522295531349,0.6393662129570822
0.4801929421732468,0.3581383904580122,0.6889929222860939,0.37607103875406206,0.4665187825749887,0.6943339489422685,0.45326329748360866,0.4775478060142541,0.8266091859339773,0.6317947262957225
0.45265786483465187,0.348261092679296,0.6223885703816625,0.3892302948575424,0.4687560553327326,0.621616646407798,0.32323881556712036,0.2902943454506331,0.9399832686721564,0.6348526492020479
0.5668194401020875,0.26500696110756555,0.3201789260249376,0.4232724858603596,0.4737657387729087,0.6259455431151569,0.4034594783782783,0.245230761154738,0.7910751229173401,0.5407865375104194
0.42524385181965213,0.38611393643705055,0.8846361303976089,0.4098317040786264,0.5672080762881837,0.6391409280118899,0.47214577425251075,0.4840224800060004,0.9167743564498632,0.5946356291624737
0.5782106157831101,0.481236837814496,0.48920694418943733,0.3891329121476826,0.3461836805383275,0.6129922898465937,0.41463827187620295,0.3718861247160118,0.8987055208564476,0.52497896167691
0.6125784497793538,0.341943839240552,0.5844044163799241,0.6394658030599093,0.4200360769982977,0.5516269530736261,0.6337385207890346,0.5198762957821514,0.6357822103150678,0.5854384721477819
0.5051629282206351,0.36066448591956224,0.3974787257803786,0.615378846121264,0.5418286647653795,0.5201155825230578,0.5933776873112336,0.765388280044787,0.6945386962807426,0.5052842235665632
0.6105106951706458,0.2864111324536423,0.4254502725280986,0.5620099656678884,0.5050025656548655,0.6132643419995474,0.594293354393859,0.42627597351814966,0.5329401455572764,0.6974828220853151
0.5581660982473177,0.3892862137710692,0.6449138285721105,0.586626691465958,0.5938159291630285,0.6167036461968803,0.537040410378415,0.7261418668477735,0.7311051491564566,0.4928096033782151
0.5388663855641418,0.37973841181970386,0.26030884059444603,0.5172647733895498,0.587371438114445,0.4725182206531702,0.5699974935777757,0.6291201889267405,0.16869677956335233,0.5106774536491006
