state,district,census_code,composite_score,composite_group,domain_score,domain_group,state_group,region,region_group
Assam,South Salmara Mancachar,,0.562707176413988,2,0.5212928444961729,1,3,North-East,3
Assam,Tinsukia,18010.0,0.5510818379745783,2,0.5451556193139481,1,3,North-East,3
Assam,Udalguri,18027.0,0.4951517335090582,0,0.5055206699657149,0,3,North-East,3
Assam,West Karbi Anglong,,0.5255371627386545,1,0.47900072732548543,0,3,North-East,3
Bihar,Araria,10007.0,0.41427714065494475,0,0.40857715350287815,0,4,East,1
Bihar,Arwal,10038.0,0.5406405398033195,1,0.5168291096489755,1,4,East,1
Bihar,Aurangabad,10033.0,0.5722484621574054,2,0.5524442810547616,2,4,East,1
Bihar,Banka,10023.0,0.5177529632511803,1,0.4974228311489723,0,4,East,1
Bihar,Begusarai,10020.0,0.49975592674409386,0,0.5198243912423594,1,4,East,1
Bihar,Bhagalpur,10022.0,0.4992586742914566,0,0.5061944697726923,0,4,East,1
Bihar,Bhojpur,10029.0,0.5082801785610377,0,0.5144795589261352,1,4,East,1
Bihar,Buxer,,0.5507263030414423,1,0.5528947035266162,2,4,East,1
Bihar,Darbhanga,10013.0,0.4661683851787622,0,0.47831446170161157,0,4,East,1
Bihar,Gaya,10034.0,0.5471831695106131,1,0.5249142704426588,1,4,East,1
Bihar,Gopalganj,10015.0,0.5362337537959717,1,0.5392983803642954,1,4,East,1
Bihar,Jamui,10036.0,0.5053219792037914,0,0.482303594410775,0,4,East,1
Bihar,Jehanabad,10037.0,0.5413493679082522,1,0.5275822803549816,1,4,East,1
Bihar,Kaimur (Bhabua),10031.0,0.6024071008423451,4,0.568570297650403,2,4,East,1
Bihar,Katihar,10010.0,0.4397450339020589,0,0.43240166085835324,0,4,East,1
Bihar,Khagaria,10021.0,0.45457522839445763,0,0.470736985431402,0,4,East,1
Bihar,Kishanganj,10008.0,0.42434954304338296,0,0.4344519895101725,0,4,East,1
Bihar,Lakhisarai,10025.0,0.4894797025960093,0,0.49519659550779666,0,4,East,1
Bihar,Madhepura,10011.0,0.48273195482106834,0,0.4575408522304286,0,4,East,1
Bihar,Madhubani,10005.0,0.4842742490002918,0,0.4856700517075444,0,4,East,1
Bihar,Munger,10024.0,0.5370959275601832,1,0.5660986799112635,2,4,East,1
Bihar,Muzaffarpur,10014.0,0.5033766928836564,0,0.5146962361092927,1,4,East,1
Bihar,Nalanda,10027.0,0.5188020120820503,1,0.5139208084789821,1,4,East,1
Bihar,Nawada,10035.0,0.5350840539913876,1,0.522786144780915,1,4,East,1
Bihar,Pashchim Champaran,10001.0,0.44433353229135264,0,0.44736882017397067,0,4,East,1
Bihar,Patna,10028.0,0.4883729469882428,0,0.5306289713437651,1,4,East,1
Bihar,Purba Champaran,10002.0,0.4290897701054852,0,0.44879941036519977,0,4,East,1
Bihar,Purnia,10009.0,0.3985939484957347,0,0.39957002994332774,0,4,East,1
Bihar,Rohtas,10032.0,0.6041891557543503,4,0.6012939992467284,3,4,East,1
Bihar,Saharsa,10012.0,0.4611627370353748,0,0.45138563157232675,0,4,East,1
Bihar,Samastipur,10019.0,0.507707206375643,0,0.5007557757915881,0,4,East,1
Bihar,Saran,10017.0,0.48403423452492894,0,0.47817376784319,0,4,East,1
Bihar,Sheikhpura,10026.0,0.5480413996766647,1,0.5286626786338083,1,4,East,1
Bihar,Sheohar,10003.0,0.50769094255354,0,0.5050503283043758,0,4,East,1
Bihar,Sitamarhi,10004.0,0.45813137061039705,0,0.46731259330163255,0,4,East,1
Bihar,Siwan,10016.0,0.5116666545335719,0,0.5327259219925026,1,4,East,1
Bihar,Supaul,10006.0,0.4923175982408317,0,0.46746980714950226,0,4,East,1
Bihar,Vaishali,10018.0,0.4899202118949717,0,0.5074761460387129,0,4,East,1
Chhattisgarh,Balod,,0.6930503463140847,7,0.6831643246783476,6,5,Central,0
Chhattisgarh,Baloda Bazar,,0.6123529071017644,4,0.6090515002934018,4,5,Central,0
Chhattisgarh,Balrampur,,0.5631711276629844,2,0.5171418131724927,1,5,Central,0
Chhattisgarh,Bastar,22015.0,0.5290143249667706,1,0.5076923250499895,0,5,Central,0
Chhattisgarh,Bemetara,,0.66146788955964,6,0.6389445542046289,5,5,Central,0
Chhattisgarh,Bijapur,22018.0,0.5383486818655444,1,0.4420172447709462,0,5,Central,0
Chhattisgarh,Bilaspur,22007.0,0.5416005733462879,1,0.5726708288458081,2,5,Central,0
Chhattisgarh,Dantewada,22017.0,0.6140094516315161,4,0.5560544836590416,2,5,Central,0
Chhattisgarh,Dhamtari,22013.0,0.6809055687695142,7,0.6823489416886047,6,5,Central,0
Chhattisgarh,Durg,22010.0,0.666493452848441,7,0.688300730987966,6,5,Central,0
Chhattisgarh,Gariyaband,,0.6435378299529959,6,0.6216121276328405,4,5,Central,0
Chhattisgarh,Janjgir - Champa,22006.0,0.6241594031066753,5,0.6172438131071456,4,5,Central,0
Chhattisgarh,Jashpur,22003.0,0.594422859419927,3,0.5635897656171864,2,5,Central,0
Chhattisgarh,Kabeerdham,22008.0,0.6700124120226517,7,0.6391818236951416,5,5,Central,0
Chhattisgarh,Kodagaon,,0.5992936298998093,4,0.5644290850201499,2,5,Central,0
Chhattisgarh,Korba,22005.0,0.5454456444396144,1,0.55014662918271,2,5,Central,0
Chhattisgarh,Koriya,22001.0,0.5927426796634343,3,0.5745559893649095,2,5,Central,0
Chhattisgarh,Mahasamund,22012.0,0.6652297253092238,6,0.6476123022534781,5,5,Central,0
Chhattisgarh,Mungeli,,0.6157970188732744,4,0.6087746403548107,4,5,Central,0
Chhattisgarh,Narayanpur,22016.0,0.6024117263860163,4,0.5210811703567743,1,5,Central,0
Chhattisgarh,Raigarh,22004.0,0.6261577290737865,5,0.6097272049571756,4,5,Central,0
Chhattisgarh,Raipur,22011.0,0.6611237696697893,6,0.6719743313898539,6,5,Central,0
Chhattisgarh,Rajnandgaon,22009.0,0.6776303631458038,7,0.6541935368660944,5,5,Central,0
Chhattisgarh,Sukma,,0.5823770192058276,3,0.48821067255826556,0,5,Central,0
Chhattisgarh,Surajpur,,0.5718091047711443,2,0.5481568586043505,1,5,Central,0
Chhattisgarh,Surguja,22002.0,0.5889599782204821,3,0.5782355982687912,3,5,Central,0
Chhattisgarh,Uttar Bastar Kanker,22014.0,0.6822053866926029,7,0.6629766458479917,6,5,Central,0
Dadra Nagar Haveli Daman Diu,Dadra & Nagar Haveli,26001.0,0.6684957340399668,7,0.6442552459829064,5,6,West,5
Dadra Nagar Haveli Daman Diu,Daman,,0.5812241237161601,3,0.6188851144894232,4,6,West,5
Dadra Nagar Haveli Daman Diu,Diu,,0.7204340634940339,7,0.7470407608269778,7,6,West,5
Goa,North Goa,30001.0,0.6617161312607145,6,0.7300513221345628,7,7,West,5
Goa,South Goa,30002.0,0.6915133614509863,7,0.7442443657346078,7,7,West,5
Gujarat,Ahmedabad,24007.0,0.6115122730563761,4,0.6694171414422305,6,8,West,5
Gujarat,Amreli,24013.0,0.6277640591299071,5,0.6446372859824011,5,8,West,5
Gujarat,Anand,24015.0,0.5755256980640651,2,0.614074964897655,4,8,West,5
Gujarat,Aravali,,0.5654584238956546,2,0.5719720533829407,2,8,West,5
Gujarat,Banaskantha,24002.0,0.4963008550197879,0,0.5044603092638102,0,8,West,5
Gujarat,Bharuch,24021.0,0.5327067347321826,1,0.581887343425317,3,8,West,5
Gujarat,Bhavnagar,24014.0,0.5646549208695101,2,0.5860331439613943,3,8,West,5
Gujarat,Botad,,0.5904277946160063,3,0.6144577032943054,4,8,West,5
Gujarat,Chhota Udaipur,,0.6207035388215992,5,0.5696998256813265,2,8,West,5
Gujarat,Dahod,24018.0,0.5610139470745242,2,0.504557311392778,0,8,West,5
Gujarat,Devbhumi Dwarka,,0.5810609731912736,3,0.5843973558087809,3,8,West,5
Gujarat,Gandhinagar,24006.0,0.5502123349037776,1,0.6113921296776212,4,8,West,5
Gujarat,Gir Somnath,,0.632180124915268,5,0.6302482485695632,4,8,West,5
Gujarat,Jamnagar,24010.0,0.691475160302485,7,0.7112006541073389,7,8,West,5
Gujarat,Junagadh,24012.0,0.6104244415494103,4,0.6385746027800157,5,8,West,5
Gujarat,Kachchh,24001.0,0.6308309931297915,5,0.6492623846696652,5,8,West,5
Gujarat,Kheda,24016.0,0.5127736217674782,0,0.5376406555900937,1,8,West,5
Gujarat,Mahesana,24004.0,0.49040471409150244,0,0.548321782878588,1,8,West,5
Gujarat,Mahisagar,,0.621732842440813,5,0.5925689346180597,3,8,West,5
Gujarat,Morbi,,0.5993121739167219,4,0.6385872519526966,5,8,West,5
Gujarat,Narmada,24020.0,0.6151391678079263,4,0.5760121810829395,2,8,West,5
Gujarat,Navsari,24023.0,0.6797431504391672,7,0.6894219349759985,7,8,West,5
Gujarat,Panchmahal,24017.0,0.5913536277689985,3,0.5770774750715804,2,8,West,5
Gujarat,Patan,24003.0,0.6162509988002122,4,0.6294982333426588,4,8,West,5
Gujarat,Porbandar,24011.0,0.6872467627338946,7,0.7009606283207649,7,8,West,5
Gujarat,Rajkot,24009.0,0.6758922319605024,7,0.7035316491025148,7,8,West,5
Gujarat,Sabarkantha,24005.0,0.5811770623719078,3,0.5866843806357906,3,8,West,5
Gujarat,Surat,24025.0,0.6619160801173338,6,0.6930331678142125,7,8,West,5
Gujarat,Surendranagar,24008.0,0.5634328485029255,2,0.587713637456343,3,8,West,5
Gujarat,Tapi,24026.0,0.6390642053517559,5,0.6372389078801294,5,8,West,5
Gujarat,The Dangs,24022.0,0.642118183977856,5,0.600860337933131,3,8,West,5
Gujarat,Vadodara,24019.0,0.6011030397164948,4,0.6596137175962363,6,8,West,5
Gujarat,Valsad,24024.0,0.6613452449749101,6,0.689618440148687,7,8,West,5
Haryana,Ambala,6002.0,0.6194921540666987,5,0.6745960022039041,6,9,North,2
Haryana,Bhiwani,6013.0,0.6507866303457372,6,0.6561654618440718,5,9,North,2
Haryana,Charkhi Dadri,,0.662268649942359,6,0.6731775210969235,6,9,North,2
Haryana,Faridabad,6020.0,0.6280220129038697,5,0.6774773907597971,6,9,North,2
Haryana,Fatehabad,6010.0,0.6630335729374737,6,0.6668470331333383,6,9,North,2
Haryana,Gurgaon,6018.0,0.6181459008413983,4,0.6652594798308596,6,9,North,2
Haryana,Hisar,6012.0,0.642955556093696,6,0.6525132823453704,5,9,North,2
Haryana,Jhajjar,6015.0,0.6874648675448902,7,0.7059646641226556,7,9,North,2
Haryana,Jind,6009.0,0.650275788085538,6,0.653222785939855,5,9,North,2
Haryana,Kaithal,6005.0,0.6506589101834515,6,0.6642871024619588,6,9,North,2
Haryana,Karnal,6006.0,0.720114871613868,7,0.7219809537781275,7,9,North,2
Haryana,Kurukshetra,6004.0,0.636060898683751,5,0.6795500564848718,6,9,North,2
Haryana,Mahendragarh,6016.0,0.6310822344912789,5,0.6437905971820332,5,9,North,2
Haryana,Mewat,6019.0,0.5027390367000252,0,0.49717309485012207,0,9,North,2
