child_stunted,child_wasted,child_severely_wasted,child_underweight,child_overweight,children_anaemic,women_15_19_anaemic,women_15_49_anaemic,nonpregnant_women_anaemic
34.8,25.3,9.3,36.4,1.4,67.1,65.1,59.5,59.1
38.8,23.9,7.6,41.1,1.5,67.5,62.6,65.1,64.9
42.7,25.6,10.4,45.1,1.4,77.2,75.1,72.6,72.9
46.3,20.6,6.2,43.5,1.5,67.7,70.4,65.7,65.4
43.3,17.1,6.0,36.0,2.0,71.0,69.2,61.4,60.9
35.5,26.7,9.1,39.5,2.3999999999999995,74.3,73.8,71.4,71.3
42.6,19.9,8.1,34.7,1.9,64.6,66.1,58.9,58.7
42.6,27.8,12.1,46.7,1.7999999999999998,80.3,70.2,71.0,71.5
49.4,18.2,9.1,37.3,1.0999999999999996,73.3,73.7,70.4,70.1
43.5,13.2,5.4,30.3,2.3999999999999995,61.6,56.3,50.6,49.8
34.5,27.5,10.6,39.6,1.4,65.4,62.8,67.1,67.3
49.1,16.8,5.7,37.9,3.8,61.0,64.4,57.3,57.1
43.5,25.8,8.0,47.1,0.7999999999999994,68.0,64.0,66.0,65.1
40.0,31.799999999999997,18.0,48.2,2.5,70.3,66.3,64.9,65.6
47.8,20.5,8.3,42.7,1.9,69.3,67.9,65.3,65.7
44.0,21.3,7.9,42.8,1.7000000000000002,67.2,65.9,60.5,59.9
39.7,28.8,10.0,45.0,2.0,69.8,70.9,62.8,63.0
53.6,16.3,7.7,37.6,5.6,80.1,73.9,69.5,69.7
34.4,35.4,21.4,42.2,3.4,73.1,64.3,61.6,63.4
54.2,16.2,4.7,40.8,2.2,70.0,61.4,61.7,61.8
36.7,18.2,5.8,30.8,3.1,63.9,64.0,53.1,53.0
42.3,25.8,8.2,45.0,1.4,63.6,63.2,60.7,61.0
38.3,19.6,6.5,38.4,3.8,77.1,69.6,63.1,62.9
33.6,15.1,8.0,36.0,7.699999999999999,68.3,59.7,56.4,56.6
40.9,19.4,9.4,34.1,7.3,67.8,60.2,61.2,61.5
35.1,23.0,7.9,38.8,1.6,50.1,55.6,63.4,63.2
48.1,20.4,9.1,45.2,5.2,80.7,80.3,77.2,77.1
38.4,16.4,3.9,27.6,4.1,61.8,50.3,47.0,46.9
53.8,20.0,8.0,46.1,3.9,77.2,68.7,72.1,72.9
25.7,24.0,10.9,28.0,4.4,78.1,63.9,58.5,59.3
45.6,19.4,9.6,45.8,9.8,89.9,75.7,76.0,76.7
30.5,17.9,6.0,28.9,2.7,67.3,59.8,59.6,60.0
38.9,16.9,10.1,27.7,3.0,57.1,61.8,51.7,52.0
28.9,21.9,10.6,22.1,13.5,73.9,63.2,64.6,65.0
32.5,24.6,12.0,30.2,6.6,74.1,67.9,66.3,66.6
35.8,17.0,3.9,33.6,1.0,54.1,60.3,61.5,61.8
37.9,12.0,3.0999999999999996,27.3,6.0,67.5,45.4,43.6,43.9
37.6,22.8,8.8,42.2,5.5,76.6,79.7,79.7,79.5
34.7,14.7,8.0,27.9,6.3,63.6,70.5,66.4,66.9
32.1,18.1,4.7,31.8,0.30000000000000027,56.3,48.3,64.4,65.0
36.8,14.0,3.5999999999999996,25.8,3.4,75.8,63.0,63.0,63.4
30.1,17.7,5.0,30.6,2.1,62.0,53.7,54.5,54.6
43.7,21.5,8.3,39.5,6.3,86.8,72.0,72.0,72.8
39.1,14.9,2.9000000000000004,28.0,0.6000000000000005,62.7,59.5,62.2,62.5
32.2,21.7,10.3,32.3,5.6,74.6,63.1,59.1,59.8
27.6,19.4,6.5,31.0,2.2,80.5,55.5,58.3,58.6
41.8,21.2,9.9,37.4,6.5,91.4,77.9,78.4,79.0
27.6,19.3,5.8,32.3,0.3999999999999999,51.1,53.1,60.7,61.0
29.4,17.5,7.6,30.6,1.2999999999999998,51.4,54.3,58.3,58.8
24.8,24.5,15.7,36.1,2.6000000000000005,62.3,69.2,65.2,66.3
42.4,20.9,3.3,42.1,1.5,74.8,64.3,64.4,64.5
30.0,25.2,7.9,29.3,1.4,82.5,63.0,60.8,60.8
33.9,17.4,3.8,28.5,8.2,62.8,62.0,50.3,50.4
24.2,17.7,7.3,25.8,2.7,55.2,46.2,40.0,40.2
28.3,21.4,8.0,21.0,2.8,50.0,42.5,37.6,37.3
35.5,17.5,7.4,34.0,4.6,72.0,67.3,63.7,63.5
35.3,23.7,7.2,30.6,6.8,72.0,47.0,50.0,50.3
38.4,28.6,10.9,46.6,3.8,78.4,64.2,66.4,66.6
47.1,29.0,9.3,47.2,3.3,89.5,87.7,77.3,77.1
39.0,25.5,8.5,44.1,1.2000000000000002,79.0,65.8,60.0,59.6
40.9,24.5,8.0,45.5,4.7,81.0,69.8,71.8,71.6
32.6,29.6,6.3,39.5,1.7999999999999998,71.5,52.0,49.4,49.1
32.2,26.0,9.6,32.3,5.8,75.5,60.3,58.8,59.1
48.6,28.4,13.8,48.1,4.8,87.7,80.3,78.9,79.1
55.3,27.8,13.4,53.0,5.8,87.2,79.7,75.1,75.4
30.2,26.1,17.2,36.2,4.9,66.7,50.9,48.8,48.8
38.1,30.6,9.9,44.6,0.5,81.2,72.8,68.8,69.2
44.4,18.5,4.9,30.3,5.0,68.9,50.9,49.9,49.6
28.4,23.8,12.5,28.9,3.6,75.0,60.1,50.2,50.6
37.3,17.3,7.1,26.4,4.4,74.7,55.5,58.8,58.8
37.5,20.2,10.6,33.4,2.6000000000000005,68.6,62.6,57.5,58.0
37.3,30.9,12.1,39.5,2.5,85.1,77.6,76.1,76.2
31.0,28.2,12.0,41.4,1.5,86.0,77.7,69.3,69.5
43.4,26.2,12.0,49.0,2.6000000000000005,85.9,79.4,72.5,73.2
32.9,25.2,12.5,32.3,4.0,75.3,62.0,50.7,50.7
47.2,23.0,9.9,52.8,3.1,93.2,83.0,75.9,75.9
36.8,29.0,9.3,43.6,3.4,75.3,72.6,68.7,68.9
47.1,35.7,19.7,51.9,3.4,91.0,71.7,69.8,69.5
50.5,20.9,6.5,42.3,3.1,76.2,60.2,59.8,59.8
18.2,21.8,14.2,25.5,3.9,77.9,52.4,47.6,47.4
38.9,17.6,7.3,37.0,8.1,77.0,72.7,60.5,60.6
37.0,33.1,16.6,41.0,4.9,81.1,73.8,67.3,67.9
36.1,26.0,14.7,32.5,5.3,83.6,76.2,69.0,69.3
39.2,27.1,8.8,41.8,5.2,81.0,56.9,55.6,55.4
41.7,36.6,17.1,51.8,1.9,80.7,72.8,77.4,77.6
37.6,40.9,22.2,53.1,1.0999999999999996,82.4,77.1,77.2,77.6
42.3,20.1,5.2,39.9,6.4,86.4,74.3,72.3,72.6
37.8,23.2,9.1,34.8,0.30000000000000027,87.6,85.8,75.7,75.8
24.1,10.900000000000002,4.0,13.7,6.2,64.2,49.2,46.1,46.5
29.0,6.0,1.9000000000000004,20.6,1.0,69.2,67.1,66.4,66.8
23.9,10.6,2.5999999999999996,16.9,1.7999999999999998,67.2,71.1,72.6,73.1
28.9,8.0,3.5999999999999996,19.5,2.3999999999999995,68.4,55.9,54.2,54.8
24.6,16.0,5.3,26.6,1.0999999999999996,59.3,66.5,62.3,62.5
22.1,15.7,4.2,22.2,2.6000000000000005,67.7,77.6,67.5,68.0
27.8,16.4,5.1,21.4,1.7999999999999998,70.5,63.6,63.8,64.0
15.600000000000001,8.0,3.5,9.7,6.3,76.9,65.2,60.1,59.9
25.5,8.8,1.5999999999999996,22.9,2.5,68.9,50.7,59.6,59.5
29.9,20.7,9.5,29.9,2.3,61.4,64.3,61.5,62.5
29.2,9.8,4.8,20.5,2.9,78.3,61.5,61.9,62.1
24.9,12.8,5.0,22.5,7.0,73.7,57.7,57.1,57.5
25.2,8.4,2.0999999999999996,15.4,5.0,72.3,67.3,61.2,61.2
44.4,14.2,7.1,37.3,3.5,76.4,66.4,60.6,61.1
31.0,9.9,4.2,21.0,3.7,71.6,59.7,57.2,57.2
21.8,12.0,5.0,19.3,3.9,53.1,64.8,57.1,57.4
25.1,9.9,2.8,18.9,2.3999999999999995,73.4,66.3,66.9,66.8
25.9,9.3,4.2,20.5,5.4,71.3,71.8,61.8,61.9
28.9,12.5,2.9000000000000004,22.1,4.1,76.2,63.1,65.3,64.8
25.0,12.6,5.1,23.4,0.7000000000000002,70.1,64.9,61.9,62.1
23.6,9.2,5.1,12.7,3.6,68.7,52.8,53.3,53.0
27.7,12.1,4.3,23.1,6.4,72.9,60.4,56.6,56.3
40.1,12.0,2.8,38.8,5.0,44.8,55.5,53.0,53.4
42.6,15.4,5.8,26.0,9.0,46.5,47.4,43.7,43.9
27.3,14.9,4.9,23.6,0.7999999999999994,52.0,48.2,49.5,49.4
28.0,19.4,7.7,32.0,2.3,55.3,57.7,63.4,63.7
32.2,11.3,4.3,18.9,9.0,75.6,52.4,51.7,52.2
35.9,16.1,5.8,25.6,11.2,75.3,55.5,52.8,53.7
28.5,16.3,10.3,18.4,7.4,91.0,85.8,82.1,82.3
31.3,19.9,8.0,21.3,7.0,52.2,49.9,48.9,49.0
27.1,15.5,7.8,14.9,8.1,59.1,51.9,46.5,46.7
28.6,18.5,9.1,24.2,6.6,58.5,54.1,50.1,50.2
32.3,20.9,5.6,26.7,5.7,50.4,44.3,47.5,48.4
24.7,13.1,5.9,25.8,2.8,58.7,63.0,60.8,60.8
28.2,24.9,14.0,28.3,5.0,79.2,88.0,74.3,75.7
26.8,18.9,9.1,20.6,11.100000000000001,85.0,83.7,73.9,75.0
25.2,14.0,4.6,16.8,11.399999999999999,75.1,73.2,73.7,74.3
23.2,18.2,8.8,17.3,8.0,70.4,75.3,72.5,73.1
32.7,9.5,6.0,15.2,15.1,80.7,74.1,66.5,67.9
18.5,25.9,13.3,20.1,11.8,89.8,83.7,77.2,77.9
27.0,18.0,10.4,17.6,7.3,68.4,72.4,66.6,68.2
21.8,22.5,13.1,25.9,18.6,67.0,71.8,53.6,55.2
27.5,22.8,15.3,17.7,21.1,88.5,92.2,84.8,86.2
28.4,11.3,4.8,15.3,20.6,77.7,80.7,77.0,77.5
24.9,25.1,14.7,25.5,8.8,78.8,81.0,73.5,75.6
22.4,15.3,6.4,20.2,12.099999999999998,67.4,82.0,73.2,74.7
25.9,15.6,6.6,18.8,4.5,54.3,74.5,54.1,56.3
30.3,22.5,12.0,32.4,5.2,76.4,72.0,60.6,62.0
25.7,15.6,6.6,21.2,3.5,62.0,76.4,59.7,61.7
17.700000000000003,13.0,5.3,11.7,16.3,69.7,74.6,62.9,65.1
24.5,20.4,9.8,15.5,12.099999999999998,69.0,73.2,62.4,63.6
22.0,32.8,17.4,33.5,2.9,57.1,77.5,63.9,65.5
33.0,18.6,7.6,15.799999999999999,12.7,77.0,69.9,51.7,52.5
37.3,19.8,9.6,31.9,5.8,70.4,68.6,56.5,57.3
