child_stunted,child_wasted,child_severely_wasted,child_underweight,child_overweight,children_anaemic,women_15_19_anaemic,women_15_49_anaemic,nonpregnant_women_anaemic
27.6,34.0,20.0,33.9,10.1,70.5,57.9,53.6,54.0
36.0,19.0,8.7,35.2,3.5,76.1,63.1,57.3,57.5
45.8,30.7,13.5,57.2,3.7,79.3,69.2,64.2,64.1
42.2,27.2,11.4,44.8,2.2,67.3,56.2,56.2,55.4
37.2,16.1,5.5,32.5,1.7999999999999998,67.4,50.9,49.1,49.3
33.0,23.9,10.5,37.1,9.3,70.3,52.1,56.9,57.2
37.6,22.8,7.6,41.8,3.0,75.4,60.2,58.8,59.4
30.7,31.4,14.0,32.7,1.2999999999999998,58.7,58.6,51.9,53.2
35.8,19.1,8.3,34.1,2.1,67.0,61.1,54.2,53.8
31.7,23.7,12.6,29.5,3.8,69.4,33.7,43.4,43.4
35.0,18.6,7.8,27.2,6.7,62.7,42.5,47.5,47.6
20.2,20.5,5.2,28.0,2.3,68.9,48.7,49.6,50.2
30.8,27.7,14.9,32.0,5.9,55.6,36.0,41.2,41.3
36.3,23.2,10.0,32.9,4.3,70.9,60.2,54.5,55.5
40.8,17.8,7.0,30.8,5.0,67.9,58.5,58.8,58.8
27.7,28.1,12.5,31.3,4.0,71.4,63.5,60.0,60.7
35.3,31.700000000000003,15.2,39.3,6.9,70.4,53.9,56.4,57.0
36.6,27.5,15.1,39.4,6.7,75.2,64.1,58.4,58.5
15.5,7.9,2.0999999999999996,11.7,3.1,42.4,33.3,35.8,35.6
34.0,8.3,3.2,14.699999999999998,8.7,42.4,37.8,27.3,27.700000000000003
25.1,12.1,5.8,9.8,4.5,41.099999999999994,28.699999999999996,32.0,30.999999999999996
18.4,11.7,2.4000000000000004,14.400000000000002,0.5,50.3,36.0,35.9,36.3
15.600000000000001,9.3,3.0999999999999996,10.2,2.6000000000000005,41.8,25.0,26.8,26.399999999999995
27.3,10.7,5.5,12.900000000000002,6.7,48.5,23.799999999999997,27.4,27.9
27.1,9.6,3.2,19.3,1.6,37.0,29.099999999999998,27.3,26.9
31.5,8.3,2.9000000000000004,14.9,4.9,39.7,19.200000000000003,24.2,23.800000000000004
27.1,11.6,5.3,16.0,2.0,34.60000000000001,20.6,21.9,21.6
39.7,20.1,6.2,26.5,4.1,28.0,55.7,50.9,52.1
49.8,8.5,2.9000000000000004,23.6,3.7,47.2,40.6,43.9,43.7
44.6,11.2,4.9,23.8,4.5,39.0,40.0,48.2,48.5
35.6,11.7,5.6,15.799999999999999,7.3,30.200000000000003,65.2,58.4,58.9
42.5,17.9,7.5,29.6,4.8,45.7,57.1,62.4,62.2
29.8,18.3,8.8,20.8,2.7,33.6,65.0,56.2,57.7
32.2,19.9,7.1,26.4,3.3,35.5,67.3,62.5,63.6
51.4,10.4,4.1,27.6,3.5,61.3,53.8,58.9,58.5
39.5,14.9,4.7,26.3,5.2,30.200000000000003,62.0,55.3,57.2
48.7,9.7,4.0,28.3,3.0,54.6,54.2,55.9,55.3
59.0,8.0,2.7,31.1,3.1,56.2,40.4,51.8,52.1
25.3,7.300000000000001,2.4000000000000004,9.599999999999998,12.3,44.0,31.499999999999996,31.7,31.599999999999998
27.2,12.1,7.6,13.099999999999998,10.6,38.3,31.600000000000005,25.7,26.100000000000005
30.4,11.3,5.3,12.599999999999998,7.6,53.8,30.100000000000005,37.7,37.3
32.7,16.2,11.4,16.9,9.1,55.3,45.5,48.5,48.6
26.5,9.5,3.3,11.099999999999998,10.1,45.7,34.2,34.9,35.1
26.4,7.4,3.8,13.9,5.9,45.5,42.4,34.9,35.1
43.8,7.699999999999999,3.4000000000000004,17.6,11.100000000000001,46.4,46.0,44.2,45.1
31.8,8.4,4.4,14.400000000000002,8.7,43.2,30.000000000000004,32.1,31.7
28.3,25.0,12.0,29.8,3.8,48.9,36.7,34.7,34.8
36.9,11.0,5.8,25.0,7.5,55.2,36.0,31.4,31.9
28.3,26.9,11.4,22.1,6.6,38.400000000000006,18.200000000000003,14.899999999999999,15.600000000000001
34.1,19.8,9.6,25.7,6.8,40.4,43.1,34.6,34.9
31.4,11.7,3.5,22.9,5.9,35.5,21.1,25.0,25.8
35.5,7.800000000000001,0.5,23.3,3.2,39.4,46.0,30.2,30.399999999999995
34.9,9.1,1.7000000000000002,20.7,4.1,51.0,29.5,29.699999999999996,29.900000000000002
28.0,12.9,6.3,15.6,6.8,44.9,41.6,29.999999999999996,30.999999999999996
37.1,24.6,10.3,34.2,5.5,38.8,28.5,28.8,29.3
26.3,23.5,10.6,28.0,1.0999999999999996,45.4,47.9,30.900000000000002,30.999999999999996
44.0,26.9,10.3,44.5,1.5,34.89999999999999,38.0,31.100000000000005,30.600000000000005
33.5,13.5,7.0,25.5,4.1,70.3,54.6,44.6,45.1
35.2,15.7,4.3,29.9,6.1,65.9,44.6,42.5,42.6
27.4,6.800000000000001,2.9000000000000004,20.7,3.7,72.9,52.0,56.0,56.1
38.7,8.8,3.8,21.8,6.2,62.5,50.1,45.9,46.1
26.9,10.900000000000002,5.9,22.8,3.2,73.6,46.6,51.4,51.7
25.0,8.9,3.8,17.4,2.9,67.5,47.7,47.2,47.1
32.9,21.2,11.5,30.2,3.7,71.4,53.5,49.2,49.4
21.7,14.7,7.1,20.4,4.6,72.7,55.0,47.9,48.3
27.1,10.6,3.4000000000000004,16.8,4.7,70.1,65.9,56.4,56.7
33.4,9.4,1.7000000000000002,18.9,7.1,65.4,42.0,46.2,46.3
36.1,8.4,3.5,19.0,2.1,68.5,54.7,57.2,57.4
28.1,25.1,7.7,30.5,3.5,75.3,85.7,75.8,75.8
32.7,25.5,12.7,37.6,2.1,74.9,64.2,59.4,59.7
24.4,15.0,5.4,22.6,3.8,43.2,57.3,61.8,61.5
38.9,18.0,6.0,30.0,2.9,56.2,66.8,62.6,62.8
37.0,20.1,6.9,38.6,1.6,56.2,53.3,54.1,54.6
32.3,15.8,7.5,28.9,4.5,68.7,69.9,64.0,63.8
20.4,14.2,5.6,18.9,5.6,63.8,59.0,64.5,64.7
28.4,27.3,12.1,34.3,3.2,61.5,73.5,72.2,72.1
33.3,22.7,5.4,30.0,6.8,62.0,68.7,65.9,66.1
43.4,16.1,4.3,34.3,6.1,64.4,64.3,66.1,65.6
23.9,10.2,1.5,18.9,4.9,61.3,58.4,56.7,56.9
13.2,10.7,5.6,11.0,8.3,58.2,60.9,59.8,60.4
25.5,15.9,6.4,21.8,2.2,66.4,74.1,63.4,63.4
27.1,16.9,3.5,26.9,3.1,65.5,68.8,67.8,68.1
33.0,17.2,6.0,33.6,2.1,68.8,66.4,64.2,64.0
34.2,23.3,12.4,35.2,2.3999999999999995,55.3,48.8,48.9,48.8
28.6,7.9,1.4000000000000004,17.9,6.6,61.5,57.6,58.8,58.9
36.2,23.8,6.2,37.1,0.8999999999999999,64.6,68.2,69.2,69.0
17.1,13.2,2.4000000000000004,16.9,3.3,56.1,71.5,68.1,67.9
43.1,15.9,6.8,33.5,3.7,69.7,60.4,58.2,58.2
44.3,19.3,5.5,41.6,1.0,78.7,67.4,71.9,71.8
36.7,28.5,10.4,45.9,3.0,71.7,63.6,72.2,73.0
44.1,25.2,9.7,46.6,5.0,70.8,70.8,69.3,69.7
20.0,10.5,1.5,20.2,2.9,55.2,61.2,62.5,62.6
43.1,18.1,3.7,38.0,3.7,73.5,64.6,64.0,64.3
13.8,8.9,1.5,11.3,3.8,51.0,56.1,63.3,63.3
43.6,16.1,3.5999999999999996,39.8,0.6000000000000005,70.5,73.7,69.1,68.8
40.7,25.5,7.6,36.3,3.7,64.5,67.1,66.7,67.1
29.6,26.0,11.7,34.5,3.1,73.1,59.9,58.8,58.8
32.9,21.1,7.4,34.7,1.2000000000000002,77.1,79.8,69.8,69.8
25.5,15.3,3.8,19.7,4.3,65.5,56.1,54.4,53.7
48.2,7.300000000000001,1.2000000000000002,32.6,2.6000000000000005,36.9,43.5,38.4,38.8
17.0,11.6,3.7,13.099999999999998,3.4,66.3,60.5,56.8,57.5
25.0,12.4,4.3,18.7,6.9,39.7,44.8,43.1,43.5
19.4,11.900000000000002,6.3,11.2,6.3,73.6,49.7,52.1,52.6
33.8,9.4,2.4000000000000004,16.5,6.1,60.6,56.5,55.2,55.2
23.0,15.4,4.8,23.8,1.2000000000000002,69.6,59.4,59.7,59.7
28.1,10.3,2.8,20.7,2.7,76.1,58.9,63.2,63.4
30.0,7.1,2.3,18.199999999999996,4.6,61.5,59.7,65.1,64.7
35.9,9.5,3.7,20.2,4.2,70.0,66.0,66.9,67.1
30.0,12.9,2.2,22.0,2.9,73.4,61.1,61.5,61.4
25.1,9.5,4.5,15.3,6.5,70.1,54.7,55.2,55.7
19.3,11.5,2.5,12.400000000000002,3.8,69.6,50.4,54.1,54.2
24.8,10.3,4.4,16.7,1.7999999999999998,69.2,56.0,57.0,57.3
24.6,12.8,9.1,19.2,4.9,68.7,63.3,54.5,54.7
22.1,5.9,1.0,12.400000000000002,6.4,77.9,66.0,64.3,65.0
36.6,12.1,3.4000000000000004,22.7,3.1,78.2,63.5,60.4,60.2
22.0,12.0,3.0999999999999996,16.8,4.9,70.3,60.8,54.4,54.7
35.0,13.6,6.5,30.7,2.8,69.0,67.7,61.0,60.9
22.1,10.3,2.9000000000000004,10.8,7.8,68.3,57.4,55.0,55.8
20.3,9.9,1.7999999999999998,16.9,0.3999999999999999,76.7,66.8,65.3,65.1
15.100000000000001,9.1,3.2,15.3,2.5,65.5,63.7,64.5,64.4
26.2,10.7,2.3,23.0,4.6,63.7,59.5,59.5,59.6
23.4,10.4,3.8,18.1,2.7,66.9,62.7,52.6,52.7
17.9,12.0,5.9,11.2,6.6,63.9,58.8,49.8,49.9
23.8,11.3,3.5999999999999996,14.400000000000002,4.5,70.5,71.0,61.7,61.9
22.3,20.0,11.7,23.1,2.8,76.3,54.4,52.7,52.5
33.9,15.6,7.1,24.0,4.1,63.2,55.3,53.2,53.3
44.6,17.3,7.5,38.7,2.1,82.1,70.2,52.8,53.1
46.0,21.3,9.0,40.2,3.2,65.1,61.3,60.1,60.1
39.1,11.5,6.2,31.7,2.2,67.1,61.6,49.4,50.0
40.3,12.2,4.3,29.1,5.1,75.7,61.7,60.8,61.0
22.6,17.4,8.5,23.5,2.7,62.7,52.6,50.4,50.7
22.8,25.6,12.6,28.5,3.4,82.4,63.6,58.9,59.4
30.0,19.6,6.2,29.1,1.0,74.9,57.2,55.9,56.3
31.4,14.6,4.9,25.9,1.0,72.4,46.6,45.1,45.4
27.1,16.5,5.2,23.4,4.0,78.1,51.2,52.9,53.0
37.7,20.7,9.7,33.5,2.2,74.4,61.6,60.3,60.3
45.7,13.7,6.3,31.3,5.6,81.7,67.4,68.5,68.8
31.4,15.6,4.4,25.9,2.5,79.8,77.3,72.6,73.6
24.5,24.9,10.8,26.1,4.5,72.3,67.2,59.0,58.8
24.2,19.8,9.0,21.3,3.9,81.0,61.7,60.3,60.4
25.0,14.6,4.2,20.8,2.0,71.3,53.6,54.1,54.4
25.5,25.0,13.8,31.7,2.7,58.6,53.8,44.4,44.7
44.3,12.1,4.8,36.5,3.0,66.3,73.8,59.9,60.8
34.0,29.0,14.0,38.1,1.4,73.1,56.9,51.5,51.7
20.9,13.9,9.1,19.6,5.9,77.2,57.0,55.4,55.5
32.6,13.3,6.0,25.4,5.5,64.4,50.1,43.4,44.2
37.6,26.6,10.6,37.3,2.3,75.9,60.5,61.5,61.1
29.5,20.8,7.9,26.4,3.3,66.7,59.5,51.8,51.8
31.5,16.2,8.8,26.2,3.7,65.1,55.2,45.3,45.6
35.9,18.3,9.4,35.9,0.8999999999999999,72.6,69.7,58.8,59.7
29.0,24.9,11.5,31.8,2.9,65.8,54.9,53.1,53.0
30.3,16.6,10.2,23.7,4.5,84.3,63.3,58.4,58.6
26.9,22.0,11.1,24.2,3.4,73.3,64.6,57.5,57.6
23.1,12.8,6.3,18.300000000000004,4.1,61.5,42.1,44.0,44.3
30.7,16.4,8.8,31.2,2.5,75.8,72.2,64.0,65.3
33.1,18.1,10.3,28.2,4.8,64.6,59.6,52.8,52.9
34.0,8.6,3.0999999999999996,26.6,1.7999999999999998,76.9,63.3,60.5,61.4
17.8,14.3,5.6,13.0,6.5,49.8,44.6,43.3,43.3
31.8,4.5,2.9000000000000004,15.3,14.1,53.5,45.6,36.7,37.0
24.8,8.0,4.0,7.200000000000003,16.6,56.5,54.6,39.8,39.9
25.2,21.1,12.2,19.3,6.5,67.1,45.7,42.7,42.6
25.3,15.1,4.4,20.1,1.6,62.0,58.8,62.4,62.4
20.4,18.3,7.6,21.9,9.4,55.3,52.8,50.3,50.5
23.0,7.0,2.7,18.5,4.2,37.8,51.4,48.9,48.8
20.2,13.9,4.0,18.0,1.6,64.8,55.6,58.6,58.6
28.7,16.9,6.5,23.2,8.9,54.2,31.9,42.5,42.0
27.1,21.1,8.2,28.4,2.2,50.2,41.4,42.6,42.9
19.4,20.9,11.2,26.9,2.8,46.5,64.2,55.4,55.3
20.6,15.7,6.9,19.8,3.0,68.8,62.7,57.0,57.0
17.3,11.4,2.7,14.5,2.8,39.1,39.3,45.6,45.5
33.6,18.4,8.7,36.3,2.3999999999999995,73.2,60.7,65.0,65.5
29.0,10.4,4.7,19.3,10.1,46.5,39.4,44.0,44.3
32.4,9.5,3.9,21.5,4.7,54.3,46.9,48.0,48.3
32.3,12.5,4.7,24.3,0.7999999999999994,60.9,58.8,62.6,63.2
25.2,10.3,4.3,15.7,6.3,67.9,50.3,51.9,51.9
29.1,15.9,4.2,22.3,2.9,69.2,61.6,66.1,66.9
32.2,9.5,1.5999999999999996,21.6,2.8,71.1,61.8,62.5,62.5
26.4,17.7,6.0,21.6,6.3,57.2,52.2,53.6,53.8
23.6,10.1,4.3,20.8,6.3,51.3,40.9,46.3,46.5
27.6,22.8,11.6,28.4,9.1,56.4,36.4,51.5,51.6
19.6,8.3,3.7,21.9,4.9,64.8,60.0,59.0,59.1
20.2,15.5,6.6,18.8,4.2,46.8,35.5,41.2,41.3
26.7,17.3,7.7,23.2,8.5,45.9,37.7,44.2,44.4
18.1,17.0,3.5999999999999996,20.6,2.1,58.4,64.4,56.8,56.9
19.8,18.4,6.8,21.5,3.0,45.0,49.0,58.2,58.3
20.3,18.4,7.7,21.0,6.7,55.6,44.3,55.9,56.3
27.6,20.9,8.6,27.4,3.1,82.3,64.7,62.4,62.5
29.4,12.0,3.0999999999999996,22.7,3.7,49.9,54.5,51.0,51.5
21.5,15.3,10.3,23.1,6.2,44.8,56.0,55.2,55.9
30.6,14.8,4.0,25.0,3.3,64.7,49.3,56.6,56.3
29.8,13.1,2.5,19.7,4.2,60.9,47.2,50.6,50.7
23.9,12.4,3.4000000000000004,20.5,0.0,73.4,67.2,62.5,62.6
29.2,14.4,7.6,23.7,6.8,58.9,59.7,56.9,57.1
45.7,29.5,12.9,52.0,2.9,76.3,68.0,61.1,61.1
28.4,21.8,9.0,25.3,3.7,69.3,79.3,68.7,69.3
30.4,17.7,8.0,18.9,4.3,63.6,70.6,52.7,52.5
29.9,17.5,8.4,32.3,5.5,59.9,66.2,56.3,56.4
33.4,22.9,10.1,30.9,6.4,69.5,58.8,57.5,57.3
32.5,31.799999999999997,14.6,36.7,1.4,67.9,64.9,65.9,66.4
49.7,17.3,4.9,41.7,2.8,82.4,66.9,64.6,64.1
33.4,34.5,17.9,43.9,3.1,71.6,65.5,58.9,59.5
30.3,13.9,4.8,27.5,5.9,70.8,73.2,61.1,61.1
22.2,24.7,15.0,26.2,6.0,60.5,61.7,62.4,62.2
38.1,35.7,14.4,41.1,2.7,70.7,74.5,67.3,67.3
33.0,19.3,5.2,26.3,3.6,81.1,70.3,62.8,63.0
42.6,17.8,8.7,33.0,4.1,82.6,61.2,54.7,55.1
25.9,22.1,10.0,27.4,3.4,58.7,62.3,56.7,57.1
36.4,21.3,3.5,42.0,1.0999999999999996,70.0,57.7,54.4,54.8
33.4,12.0,5.0,25.0,1.2000000000000002,73.8,56.1,56.8,57.4
35.1,27.3,7.0,30.9,2.5,75.1,62.1,54.0,53.5
31.7,29.8,14.5,28.0,1.7000000000000002,74.5,60.6,54.3,54.2
31.7,18.1,6.6,33.4,1.4,65.3,57.3,57.7,58.1
30.5,26.2,4.3,38.4,2.8,65.3,65.2,57.0,57.7
27.5,28.8,15.6,33.1,1.6,69.6,78.3,64.6,64.6
22.4,19.4,8.9,26.1,2.3,65.7,61.4,56.0,56.6
37.8,13.9,5.1,29.5,4.0,75.8,58.0,53.2,53.6
32.9,25.0,5.9,35.1,3.0,67.0,59.5,48.3,47.9
28.1,19.3,4.7,29.6,1.5,63.5,76.6,56.7,56.9
29.1,24.9,8.8,30.1,2.8,76.6,64.5,57.5,58.1
32.1,20.0,5.8,37.1,0.7999999999999994,70.0,62.0,61.0,61.3
40.4,15.1,4.4,33.2,4.9,75.3,65.2,58.7,58.5
36.1,19.0,8.9,37.9,2.3999999999999995,71.5,64.3,59.3,59.2
29.5,29.5,12.6,36.0,4.4,67.0,54.9,57.9,57.8
38.3,10.3,3.0,27.2,5.5,65.3,60.1,53.8,54.3
45.7,15.9,7.7,27.6,13.1,81.2,65.4,70.0,69.7
22.7,27.6,11.2,29.0,3.4,70.7,63.2,62.3,62.6
47.0,16.6,6.2,24.7,8.1,73.4,64.8,63.7,63.7
26.2,30.0,18.1,32.2,9.0,52.5,72.3,69.3,69.6
34.5,14.9,6.7,21.0,12.4,72.1,70.4,69.4,69.8
25.5,15.3,5.2,21.6,5.0,59.6,70.8,66.5,66.8
31.8,19.3,4.0,32.0,1.9,62.8,72.9,67.9,67.4
30.3,11.7,2.0999999999999996,21.2,8.7,54.5,64.9,67.3,67.6
26.0,17.0,6.1,22.9,4.4,57.7,31.8,33.4,34.0
23.6,7.699999999999999,3.7,11.900000000000002,3.5,43.7,27.3,27.800000000000004,27.800000000000004
34.1,16.2,5.0,21.6,7.5,65.5,39.3,41.8,41.8
24.9,12.4,5.8,15.3,4.7,43.1,33.6,32.5,32.6
20.9,10.1,2.4000000000000004,19.1,3.8,59.5,45.6,47.9,47.9
31.1,16.4,6.4,27.0,4.0,63.1,31.499999999999996,43.8,42.8
23.2,14.0,5.9,14.8,7.5,59.8,38.0,34.5,34.6
30.0,12.0,5.0,18.8,4.7,57.2,44.3,40.3,40.8
25.6,12.4,6.9,20.6,4.4,36.2,30.2,25.5,25.2
25.2,8.0,2.4000000000000004,10.900000000000002,4.2,52.4,43.1,40.6,40.7
29.3,12.8,5.2,20.7,2.2,61.7,46.9,42.2,41.9
26.8,12.4,3.0999999999999996,22.0,2.3999999999999995,60.8,51.6,51.0,51.1
34.1,10.6,5.4,23.5,2.7,73.6,66.1,60.9,60.8
35.9,16.4,4.6,26.2,3.4,73.0,61.4,59.4,59.4
35.0,10.900000000000002,4.0,26.3,2.0,62.6,52.5,56.5,56.4
31.1,17.8,3.9,29.2,1.9,54.9,55.0,52.7,52.9
35.8,19.9,5.1,33.1,1.2000000000000002,52.4,45.4,46.1,46.6
39.7,19.4,9.2,32.6,7.3,64.2,44.0,39.1,39.0
33.4,14.4,4.3,28.0,0.5,58.9,57.8,54.3,54.2
25.5,10.3,3.9,26.0,1.7000000000000002,60.2,56.5,53.3,52.6
52.1,14.4,7.5,38.0,4.1,71.7,52.6,48.8,48.8
43.8,21.9,10.7,42.5,2.2,71.6,58.0,52.2,53.0
41.2,24.9,14.3,37.2,3.9,75.4,54.7,53.7,54.8
51.0,25.7,13.0,49.8,6.3,82.2,54.5,52.2,52.3
41.9,18.1,7.8,31.9,3.0,65.5,61.1,55.3,55.0
45.9,15.4,5.6,35.2,1.4,67.7,66.2,60.8,61.3
35.9,24.2,15.2,39.2,2.7,58.4,41.1,39.9,40.3
36.2,9.4,2.0,21.9,2.7,60.9,46.8,46.0,45.9
51.8,18.2,6.8,43.0,3.8,72.2,55.6,55.3,56.2
37.6,13.8,2.5999999999999996,26.5,2.9,64.1,54.0,52.0,51.5
39.5,17.4,7.4,29.9,0.6000000000000005,64.6,52.4,48.7,48.5
47.5,24.8,12.0,41.8,6.7,55.3,51.9,46.6,46.7
36.8,26.5,10.8,39.4,3.4,54.9,39.0,33.8,34.2
48.8,15.0,8.4,30.6,3.7,77.4,60.9,55.4,56.0
38.8,13.9,6.2,24.3,2.6000000000000005,74.0,65.6,57.4,57.6
30.6,12.4,2.0,27.5,2.6000000000000005,57.7,52.7,52.3,52.7
47.8,14.3,6.1,31.1,4.7,77.1,58.3,56.9,57.5
51.1,17.8,9.1,38.0,3.6,78.1,60.5,63.0,63.7
46.9,9.5,3.8,25.6,4.8,73.9,61.8,57.1,57.7
25.5,12.0,3.5,21.9,0.6000000000000005,62.9,57.8,59.4,59.3
28.2,17.1,3.0,23.4,3.0,61.8,59.8,55.2,55.9
39.3,25.7,13.9,38.3,3.6,71.6,49.8,45.7,46.2
45.9,12.1,3.8,28.0,4.7,62.0,51.6,49.3,49.3
29.6,23.3,12.0,33.7,1.2999999999999998,67.4,55.8,52.9,53.4
48.0,20.6,10.7,36.3,9.1,68.5,49.7,46.1,46.4
30.2,18.5,9.2,26.9,5.1,69.4,55.7,50.6,51.7
44.5,22.3,9.9,33.0,5.4,76.1,61.1,59.7,59.5
45.1,19.5,8.5,36.1,2.3,55.2,39.5,44.2,44.0
40.5,14.8,6.7,30.3,2.7,65.3,41.4,34.0,34.1
40.9,25.2,10.4,39.3,3.3,70.3,40.2,41.3,41.5
42.2,22.5,12.5,35.4,4.6,69.6,51.7,47.6,47.9
43.0,21.5,10.8,33.5,5.2,79.6,68.8,65.2,65.2
44.1,12.5,6.7,32.8,6.8,69.2,55.6,54.9,54.6
34.6,21.4,12.6,27.8,5.8,76.3,63.0,57.0,57.4
45.1,19.3,9.9,35.5,4.6,80.8,64.1,64.6,66.1
40.2,18.3,4.3,36.8,0.7999999999999994,65.5,54.8,54.4,54.6
47.6,15.8,3.9,36.3,2.2,66.3,52.5,53.0,52.8
32.2,24.3,9.0,36.6,2.2,52.8,45.7,42.3,42.7
46.6,18.7,7.5,34.8,6.7,56.0,42.0,38.1,37.5
32.1,11.5,1.4000000000000004,25.5,2.0,52.9,52.8,55.8,55.9
39.1,12.0,4.7,24.5,3.7,72.1,60.9,58.2,58.1
40.5,21.8,9.1,37.4,3.4,60.5,43.4,47.1,47.3
42.3,25.0,11.7,33.4,5.0,70.1,53.5,49.4,49.5
44.3,14.6,6.7,33.6,4.0,70.4,61.4,57.8,58.2
31.6,11.0,3.2,21.3,2.1,77.2,67.8,63.0,63.5
25.4,21.2,9.6,30.3,1.2000000000000002,62.7,53.8,44.3,44.5
32.1,10.2,2.0999999999999996,23.7,1.2999999999999998,55.2,45.1,45.5,45.5
43.4,12.5,3.3,27.6,2.9,59.8,43.6,42.1,42.3
34.7,19.1,9.8,27.0,2.3,67.6,43.4,44.9,45.5
29.8,20.7,9.9,29.9,4.2,65.4,48.8,46.0,46.2
38.9,20.1,7.5,39.4,1.4,57.3,58.4,52.0,52.6
35.5,10.0,2.5,27.7,1.2999999999999998,58.0,51.6,48.9,49.9
37.9,15.1,4.3,32.6,1.0,50.5,49.1,46.4,46.5
47.0,13.0,6.3,28.8,4.3,76.4,49.7,48.2,48.3
40.4,17.6,5.9,32.1,2.1,69.6,59.3,55.4,55.7
28.8,22.0,12.9,26.7,1.9,68.1,46.9,41.4,41.8
51.6,14.1,5.6,29.8,3.8,69.8,57.3,51.3,51.1
42.3,19.0,8.8,34.2,2.9,71.6,47.1,43.5,43.8
42.7,9.1,2.4000000000000004,26.5,2.3,59.2,39.7,43.8,43.2
44.5,17.0,8.1,34.7,3.2,75.4,58.7,60.3,60.6
28.6,24.3,13.2,27.5,2.1,65.2,49.5,41.7,42.4
50.9,20.3,9.3,40.8,3.3,61.2,46.4,44.4,44.6
37.2,24.8,14.5,36.3,2.8,75.8,50.9,51.2,51.4
47.8,18.2,6.5,37.9,2.9,66.4,61.2,55.3,55.2
38.3,26.8,17.4,46.5,0.8999999999999999,63.0,44.2,44.5,44.2
33.4,10.7,2.5,28.3,1.4,62.3,45.4,50.2,49.5
39.2,12.1,5.1,29.3,7.5,76.0,49.6,48.9,49.6
37.4,21.0,13.3,39.0,3.1,65.2,42.0,37.6,38.2
30.3,26.0,8.3,38.8,1.9,67.1,80.3,77.0,77.3
37.0,25.5,5.6,41.8,3.4,76.5,78.6,77.7,78.2
31.9,22.8,9.6,30.2,3.9,72.5,78.7,82.0,82.8
34.3,20.6,11.6,31.6,8.2,68.1,60.1,59.2,59.1
27.5,21.3,10.5,27.3,4.6,67.7,67.1,65.3,65.6
28.9,20.0,5.0,33.4,5.2,67.9,75.1,75.1,75.1
28.9,18.3,7.3,25.4,5.5,67.4,66.6,71.4,72.2
28.7,16.8,5.2,22.5,2.3,66.4,71.2,74.8,74.9
29.6,29.3,16.9,32.9,6.0,72.3,61.4,58.2,58.4
40.5,20.0,6.3,35.3,3.3,71.0,68.5,73.6,73.8
39.8,16.3,3.7,32.4,3.6,72.1,73.0,77.6,78.0
26.1,17.6,7.5,25.1,3.0,63.6,68.2,73.4,73.8
32.4,13.3,5.0,23.6,6.5,57.9,68.4,65.3,65.4
39.7,25.5,8.0,41.0,3.1,74.7,65.6,65.8,66.5
31.1,30.3,9.6,40.0,1.7000000000000002,66.0,84.5,81.5,82.0
32.7,21.1,5.4,31.6,3.0,71.5,78.2,77.9,78.4
25.8,15.5,3.0,30.6,3.1,67.5,73.8,70.4,70.5
36.9,29.4,7.9,46.3,1.0,77.9,79.2,76.7,76.9
36.7,21.2,11.8,32.2,7.0,70.4,57.3,61.6,62.1
44.8,16.0,7.2,32.0,7.1,77.2,63.6,72.4,71.9
