PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
-3.5697924510310726,-6.159500607889272,-4.262188065493847,3.3517496207069364,-1.9002585817952238,4.545628429031544,-3.633514539475078,4.650056579615644,-1.505675362952759,2.4862645179490612,2.3155756015155102,1.8158644147690721,2.2490260097701174,0.5240330167543371,1.8409240130344025,-2.911154607481335,-4.008048772717263,2.2254556048609486
-3.772866085419448,-1.1956670543419141,-1.6011493471141922,0.7873507524891851,0.5092975035927936,2.1404401193687166,-2.5819944675342024,-0.12853077560139436,0.0967192135972959,1.5150935908409653,2.757509679014038,0.036797883744628876,2.6942198577129632,-0.3712262377309795,0.18596838995640175,-2.6911701871196856,-1.4866345884904149,-0.6023984156820439
-5.442060721751094,-2.531595794311417,0.9366020185096171,1.0098732932540861,2.2869728693700835,0.09316289989845039,-0.3311771657421017,2.4679758359004347,0.7412102746415726,0.4307689606507706,0.4500408612879609,0.02542761027904589,1.6208281662477042,1.212093345905193,0.2546244121089635,-0.5508686041856931,-0.6550838180053327,0.7184601885281426
-3.061962101749089,0.7871512481907679,1.9546150148947994,-0.88955864866582,-2.6150317491225055,0.9951779418206205,-1.3955315093307967,-0.17531058539481018,-0.4692330759425689,0.4663573387686318,-0.7522028245361623,0.7892511827729173,-1.4933374702896487,0.29797731987660425,-0.6926679288590094,1.800508475836009,0.43517080991576546,-0.8262839412772326
-3.121607367874934,0.5629648099122034,3.481286058801499,-0.5301337384568983,-2.3020649873714087,0.8174624653283223,-2.319764270201291,-0.10119512281261506,-1.2107760053130778,-0.504540172256708,0.017702588711351202,2.1862880441302024,-0.5603163667944351,-0.25362239198853304,-0.5371750100644892,0.016339252590792868,1.2792064156939515,-0.7698758726365559
-4.070785889147371,-4.822172480100354,4.0847930766791976,-1.4360724389992225,-2.5850271258579456,0.6326846508485376,-2.580101264892161,-0.4369656732043839,-0.5352571566003205,-1.0366380257734782,0.5060311216902129,-0.2117927611965757,-0.7881854625074123,0.3705789430575451,-1.334155067022707,-1.7566542980472144,0.8173764748262515,-0.019575119622422383
-6.587152739904153,-1.1082327901531495,4.547178965069578,1.1215750282425654,-4.110050791990413,-0.9128682923749795,-2.922351622498697,-0.24862765146637777,-1.9349801496857018,-0.8921781020740007,-0.3094374232077538,1.8285178061955254,-0.7999488819839623,2.347403610104228,-1.4236988519963463,-0.6695517427621978,0.09864197085937189,-0.659537341779485
-6.781028157154288,-1.1385703266742193,3.704438599133901,0.4950084600440109,-2.3543998724659887,-1.3564949391701653,-3.010134539231769,0.26542900168825373,-2.5112876921693634,-0.5175122084448079,-0.9298996161575404,2.164974057325826,1.8091842160766154,0.7911847197987169,-1.5939836575220543,-1.8217764551714128,1.0032850151428017,-0.21928528598689936
-2.075156211793273,-0.25148759831341677,2.2650403852815324,-0.7820799752490012,-4.3202831347935575,1.2123532567442432,-2.4018399430201285,-0.9683554667694602,-0.9564531838230453,-0.004743379220033997,0.013807388476232396,2.451470422433232,-0.8991764823148628,1.958907885278966,-1.1309647441040123,-0.2548226374246888,2.2579887071648193,0.28793178125268803
-4.179867043827633,-4.414152433931188,5.287087838755123,-1.0440400148741649,-4.161041143090795,2.807309274448204,-4.084583198429177,-1.3027780080561795,-1.3797746357296354,-0.7506754750614388,0.45695158836504346,1.1311738800265982,-0.19104702349073568,2.8501719917411776,-2.1647143300179277,-1.360801535617109,1.378147074315905,-0.33818680583005606
