PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
-3.5697924510310726,-6.159500607889272,-4.262188065493847,3.3517496207069364,-1.9002585817952238,4.545628429031544,-3.633514539475078,4.650056579615644,-1.505675362952759,2.4862645179490612,2.3155756015155102,1.8158644147690721,2.2490260097701174,0.5240330167543371,1.8409240130344025,-2.911154607481335,-4.008048772717263,2.2254556048609486,0.3356210321662868,-2.552128887106504,-1.939478839263908,2.1092074656064272,-0.8058769995154773,-1.6188284050725992,0.11681603332365124,-3.1656647614691633,-0.07127861755076924,-0.7825177403647918,-0.7516686588102769,0.9713564487718643
-3.772866085419448,-1.1956670543419141,-1.6011493471141922,0.7873507524891851,0.5092975035927936,2.1404401193687166,-2.5819944675342024,-0.12853077560139436,0.0967192135972959,1.5150935908409653,2.757509679014038,0.036797883744628876,2.6942198577129632,-0.3712262377309795,0.18596838995640175,-2.6911701871196856,-1.4866345884904149,-0.6023984156820439,-2.913162524467516,-2.7306670113393077,-1.5381201976400176,3.391100757858854,-1.104441512340209,-0.9014105650075623,-0.6098565832713584,-1.2533920117982387,1.1962711807648279,-2.602203960182697,-0.1550390635970378,-0.4866372755174856
-5.442060721751094,-2.531595794311417,0.9366020185096171,1.0098732932540861,2.2869728693700835,0.09316289989845039,-0.3311771657421017,2.4679758359004347,0.7412102746415726,0.4307689606507706,0.4500408612879609,0.02542761027904589,1.6208281662477042,1.212093345905193,0.2546244121089635,-0.5508686041856931,-0.6550838180053327,0.7184601885281426,-1.8580643432633293,-3.87594224931364,-0.47366155331572285,1.7434525575966855,1.532242576391506,-1.2279544903681412,0.3744165962763086,-0.8657788397151001,1.9304765902955885,-2.4322626691164495,0.8370169363966677,-0.7642784441332771
-3.061962101749089,0.7871512481907679,1.9546150148947994,-0.88955864866582,-2.6150317491225055,0.9951779418206205,-1.3955315093307967,-0.17531058539481018,-0.4692330759425689,0.4663573387686318,-0.7522028245361623,0.7892511827729173,-1.4933374702896487,0.29797731987660425,-0.6926679288590094,1.800508475836009,0.43517080991576546,-0.8262839412772326,-2.1329180153793974,-0.8359758042877877,0.9896549058047044,2.0524728534699257,0.08090649538780759,-0.9245576777102146,0.19922765087694183,0.6401603303037161,-0.41030648972447137,-0.9988165599042287,0.6032728689447794,-0.6710534115641992
-3.121607367874934,0.5629648099122034,3.481286058801499,-0.5301337384568983,-2.3020649873714087,0.8174624653283223,-2.319764270201291,-0.10119512281261506,-1.2107760053130778,-0.504540172256708,0.017702588711351202,2.1862880441302024,-0.5603163667944351,-0.25362239198853304,-0.5371750100644892,0.016339252590792868,1.2792064156939515,-0.7698758726365559,-1.4925081564604636,-1.5876127277477452,0.882977113258651,1.7392999401185292,1.4000340977161339,0.5731745030904506,-0.1825094901234378,1.0491052051188123,-0.08689053913077115,-0.3662084354301558,1.046197343833076,-0.19837375180108627
-4.070785889147371,-4.822172480100354,4.0847930766791976,-1.4360724389992225,-2.5850271258579456,0.6326846508485376,-2.580101264892161,-0.4369656732043839,-0.5352571566003205,-1.0366380257734782,0.5060311216902129,-0.2117927611965757,-0.7881854625074123,0.3705789430575451,-1.334155067022707,-1.7566542980472144,0.8173764748262515,-0.019575119622422383,-2.482559561881701,0.5997780276389798,0.8532283879428313,0.9392054552400556,-0.1389095422458463,0.47019753745362525,-0.5561900006358615,2.3451706874462874,-0.8127648710660395,-1.2453311559022915,1.1925752466749922,0.963850489131663
-6.587152739904153,-1.1082327901531495,4.547178965069578,1.1215750282425654,-4.110050791990413,-0.9128682923749795,-2.922351622498697,-0.24862765146637777,-1.9349801496857018,-0.8921781020740007,-0.3094374232077538,1.8285178061955254,-0.7999488819839623,2.347403610104228,-1.4236988519963463,-0.6695517427621978,0.09864197085937189,-0.659537341779485,-2.2874924782982267,-1.0651873876625422,0.35281283840494243,3.362908050822231,0.5857646465032937,0.4744464587968376,0.496054191728111,1.5448971445005337,-0.03390202081241254,-0.8657158103168257,0.37095575036090234,1.1422526063354386
-6.781028157154288,-1.1385703266742193,3.704438599133901,0.4950084600440109,-2.3543998724659887,-1.3564949391701653,-3.010134539231769,0.26542900168825373,-2.5112876921693634,-0.5175122084448079,-0.9298996161575404,2.164974057325826,1.8091842160766154,0.7911847197987169,-1.5939836575220543,-1.8217764551714128,1.0032850151428017,-0.21928528598689936,-1.4923756161277435,-0.6749873193312581,-0.6619038139101941,2.8682306663641577,1.5394505614019045,-0.3331993864713178,-0.15061105504295821,0.6463969471189155,-1.28494371537625,-0.4876801621200134,-0.5744693791725396,-0.09514733298374267
-2.075156211793273,-0.25148759831341677,2.2650403852815324,-0.7820799752490012,-4.3202831347935575,1.2123532567442432,-2.4018399430201285,-0.9683554667694602,-0.9564531838230453,-0.004743379220033997,0.013807388476232396,2.451470422433232,-0.8991764823148628,1.958907885278966,-1.1309647441040123,-0.2548226374246888,2.2579887071648193,0.28793178125268803,-1.7169476327555184,-1.0352605589688493,0.5627692041744099,0.5217207283287991,-0.8969763133323307,-0.179737093960752,-0.7595798454650972,1.2492685350895434,-0.36867990989561356,0.6268370111633055,1.699149878371955,0.7813188657845694
-4.179867043827633,-4.414152433931188,5.287087838755123,-1.0440400148741649,-4.161041143090795,2.807309274448204,-4.084583198429177,-1.3027780080561795,-1.3797746357296354,-0.7506754750614388,0.45695158836504346,1.1311738800265982,-0.19104702349073568,2.8501719917411776,-2.1647143300179277,-1.360801535617109,1.378147074315905,-0.33818680583005606,-1.120891305297763,-2.5899801545308945,0.48111985610271063,2.2204650376453743,-0.45501546303150786,-1.081469590896129,0.3173014166316498,1.75382194023154,0.4168053887116099,-0.7449331838572717,0.3144628751599707,0.7477092481060127
-3.9064468887955264,1.0048811785681928,2.486982081746184,0.3686419984041109,-1.8991402246689773,-0.6455810686999276,-2.4357701530618443,0.6751203083809721,-1.4079205676722313,-1.0555116255495764,-1.7564236816867111,0.9751631526149743,0.7563076415611519,1.0720157746321182,-1.7830499712003975,-0.6458379167954613,2.7156984469137786,0.6147309892300242,-1.9683223429404344,1.6069750178584212,1.3110474928329827,0.9372100308410549,0.11685151336465892,0.11809412603256014,-0.7183113327201999,0.6395965792180834,-0.23416194216698832,-0.7659105536981238,-0.5997119387443441,0.8470134557246306
